module,type,name,res_id,src,value,comments
base_module_record,model,"ir.actions.act_window,name",base_module_record.act_base_module_record_data,Export Customizations As Data File,Export Customizations As Data File,
base_module_record,model,"ir.actions.act_window,name",base_module_record.act_base_module_record_objects,Export Customizations As a Module,Export Customizations As a Module,
base_module_record,model,"ir.actions.act_window,name",base_module_record.action_base_module_record_data,Export Customizations as Data,Export Customizations as Data,
base_module_record,model,"ir.actions.act_window,name",base_module_record.action_base_module_record_objects,Export Customizations as a Module,Export Customizations as a Module,
base_module_record,model,"ir.actions.act_window,name",base_module_record.action_module_created,Module Recording,Module Recording,
base_module_record,model,"ir.model,name",base_module_record.model_base_module_data,Base Module Data,Base Module Data,
base_module_record,model,"ir.model,name",base_module_record.model_base_module_record,Base Module Record,Base Module Record,
base_module_record,model,"ir.model,name",base_module_record.model_base_module_record_data,Base Module Record Data,Base Module Record Data,
base_module_record,model,"ir.model,name",base_module_record.model_base_module_record_objects,Base Module Record Objects,Base Module Record Objects,
base_module_record,model,"ir.model,name",base_module_record.model_ir_module_record,Module Record,Module Record,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data____last_update,Last Modified on,Last Modified on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__check_date,Record from Date,Record from Date,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__create_date,Created on,Created on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__create_uid,Created by,Created by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__display_name,Display Name,Display Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__filter_cond,Records only,Records only,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__id,ID,ID,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__objects,Objects,Objects,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__write_date,Last Updated on,Last Updated on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_data__write_uid,Last Updated by,Last Updated by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record____last_update,Last Modified on,Last Modified on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__check_date,Record from Date,Record from Date,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__create_date,Created on,Created on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__create_uid,Created by,Created by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__display_name,Display Name,Display Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__filter_cond,Records only,Records only,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__id,ID,ID,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__objects,Objects,Objects,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__write_date,Last Updated on,Last Updated on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record__write_uid,Last Updated by,Last Updated by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data____last_update,Last Modified on,Last Modified on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__create_date,Created on,Created on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__create_uid,Created by,Created by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__display_name,Display Name,Display Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__id,ID,ID,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__res_text,Result,Result,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__write_date,Last Updated on,Last Updated on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_data__write_uid,Last Updated by,Last Updated by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects____last_update,Last Modified on,Last Modified on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__author,Author,Author,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__category,Category,Category,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__create_date,Created on,Created on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__create_uid,Created by,Created by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__data_kind,Type of Data,Type of Data,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__description,Full Description,Full Description,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__directory_name,Directory Name,Directory Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__display_name,Display Name,Display Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__id,ID,ID,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__module_file,Module .zip File,Module .zip File,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__module_filename,Filename,Filename,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__name,Module Name,Module Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__version,Version,Version,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__website,Documentation URL,Documentation URL,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__write_date,Last Updated on,Last Updated on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_base_module_record_objects__write_uid,Last Updated by,Last Updated by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_ir_module_record____last_update,Last Modified on,Last Modified on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_ir_module_record__create_date,Created on,Created on,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_ir_module_record__create_uid,Created by,Created by,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_ir_module_record__display_name,Display Name,Display Name,
base_module_record,model,"ir.model.fields,field_description",base_module_record.field_ir_module_record__id,ID,ID,
